DBN,School Name,School Type,Rigorous Instruction Rating,Rigorous Instruction - Element Score,How Interesting And Challenging Is The Curriculum,How Effective Is The Teaching And Learning,How Well Does The School Assess What Students Are Learning,Rigorous Instruction Overall Positive Responses,Rigorous Instruction City Positive Responses,Rigorous Instruction District Positive Responses,Collaborative Teachers Rating,Collaborative Teachers - Element Score,Quality Review - How well do teachers work with each other,Collaborative Teachers Overall Positive Responses,Collaborative Teachers City Positive Responses,Collaborative Teachers District Positive Responses,Supportive Environment Rating,Supportive Environment - Element Score,Quality Review - How clearly are high expectations communicated to students and staff,Supportive Environment Overall Positive Responses,Supportive Environment City Positive Responses,Supportive Environment District Positive Responses,Metric Rating - Least Restrictive Environment,% of Enrollment - Least Restrictive Environment,Population % of Range - Least Restrictive Environment,Metric Value - Least Restrictive Environment,Approaching Target For 2019 - Least Restrictive Environment,Meeting Target For 2019 - Least Restrictive Environment,Exceeding Target For 2019 - Least Restrictive Environment,Metric Score - Least Restrictive Environment,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Effective School Leadership Rating,Effective School Leadership - Element Score,Effective School Leadership Overall Positive Responses,Effective School Leadership City Positive Responses,Effective School Leadership District Positive Responses,Strong Family-Community Ties Rating,Strong Family-Community Ties - Element Score,Strong Family-Community Ties Overall Positive Responses,Strong Family-Community Ties City Positive Responses,Strong Family-Community Ties District Positive Responses,Trust Rating,Trust - Element Score,Trust Overall Positive Responses,Trust City Positive Responses,Trust District Positive Responses,Quality Review - Principal at Time of Review,Dates Of Review
01M015,P.S. 015 Roberto Clemente,Elementary,Exceeding Target,4.02,Well Developed,Proficient,Proficient,85%,83%,81%,Exceeding Target,4.10,Proficient,90%,85%,85%,Exceeding Target,4.22,Proficient,83%,83%,81%,Exceeding Target,0.17,0.59,0.30,0.07,0.13,0.21,4.99,77.3%,4.99,Exceeding Target,4.19,96%,86%,86%,Exceeding Target,4.18,97%,95%,96%,Meeting Target,3.96,94%,90%,90%,IRENE SANCHEZ,March 2017
01M019,P.S. 019 Asher Levy,Elementary,Exceeding Target,4.80,Well Developed,Well Developed,Well Developed,87%,83%,81%,Exceeding Target,4.53,Well Developed,92%,85%,85%,Meeting Target,3.58,Well Developed,85%,83%,81%,Not Meeting Target,0.37,1.00,0.11,0.10,0.19,0.31,1.92,65.7%,2.41,Exceeding Target,4.51,90%,86%,86%,Exceeding Target,4.66,98%,95%,96%,Meeting Target,3.76,91%,90%,90%,JACQUELINE FLANAGAN,October 2016
01M020,P.S. 020 Anna Silver,Elementary,Not Meeting Target,1.92,Developing,Developing,Developing,70%,83%,81%,Approaching Target,2.71,Developing,77%,85%,85%,Approaching Target,2.92,Proficient,74%,83%,81%,Meeting Target,0.24,0.85,0.25,0.10,0.19,0.31,3.46,70.4%,3.02,Approaching Target,2.98,80%,86%,86%,Meeting Target,3.84,95%,95%,96%,Meeting Target,3.14,86%,90%,90%,SARAH PINTO VIAGRAN,April 2017
01M034,P.S. 034 Franklin D. Roosevelt,K-8,Approaching Target,2.14,Developing,Developing,Developing,74%,80%,81%,Approaching Target,2.69,Proficient,66%,81%,83%,Approaching Target,2.41,Proficient,64%,72%,78%,Meeting Target,0.36,1.00,0.23,0.08,0.18,0.26,3.71,54.5%,1.76,Approaching Target,2.59,66%,83%,84%,Meeting Target,3.67,94%,94%,95%,Approaching Target,2.38,76%,87%,89%,ANGELIKI LOUKATOS,October 2017
01M063,The STAR Academy - P.S.63,Elementary,Exceeding Target,4.25,Well Developed,Proficient,Well Developed,80%,83%,81%,Exceeding Target,4.31,Well Developed,86%,85%,85%,Meeting Target,3.99,Well Developed,87%,83%,81%,Exceeding Target,0.29,1.00,0.20,0.05,0.11,0.17,4.43,65.3%,3.00,Meeting Target,3.60,90%,86%,86%,Exceeding Target,4.23,96%,95%,96%,Meeting Target,3.77,92%,90%,90%,,May-19
01M064,P.S. 064 Robert Simon,Elementary,Meeting Target,3.74,Proficient,Proficient,Proficient,90%,83%,81%,Exceeding Target,4.56,Well Developed,94%,85%,85%,Meeting Target,3.33,Proficient,86%,83%,81%,Meeting Target,0.26,0.95,0.13,0.06,0.12,0.20,3.13,54.4%,1.92,Exceeding Target,4.09,95%,86%,86%,Exceeding Target,4.18,97%,95%,96%,Exceeding Target,4.04,95%,90%,90%,Marlon L. Hosang,January 2018
01M110,P.S. 110 Florence Nightingale,Elementary,Not Meeting Target,1.96,Developing,Developing,Developing,71%,83%,81%,Meeting Target,3.11,Proficient,79%,85%,85%,Approaching Target,2.81,Proficient,75%,83%,81%,Exceeding Target,0.11,0.35,0.61,0.10,0.20,0.32,4.99,77.1%,2.10,Meeting Target,3.15,85%,86%,86%,Meeting Target,3.67,94%,95%,96%,Meeting Target,3.29,86%,90%,90%,KAREN FEUER,October 2016
01M134,P.S. 134 Henrietta Szold,Elementary,Meeting Target,3.19,Proficient,Proficient,Proficient,69%,83%,81%,Approaching Target,2.51,Proficient,61%,85%,85%,Approaching Target,2.67,Well Developed,57%,83%,81%,Exceeding Target,0.37,1.00,0.28,0.08,0.16,0.26,4.09,54.5%,1.92,Not Meeting Target,1.53,64%,86%,86%,Meeting Target,3.38,91%,95%,96%,Approaching Target,2.55,77%,90%,90%,Daniel Kim,10-Nov-15
01M140,P.S. 140 Nathan Straus,K-8,Meeting Target,3.40,Proficient,Proficient,Proficient,77%,80%,81%,Meeting Target,3.44,Proficient,83%,81%,83%,Approaching Target,2.78,Proficient,67%,72%,78%,Approaching Target,0.34,1.00,0.25,0.14,0.29,0.40,2.50,53.7%,1.87,Exceeding Target,4.21,88%,83%,84%,Meeting Target,3.59,93%,94%,95%,Meeting Target,3.70,89%,87%,89%,MELISSA RODRIGUEZ,January 2018
01M142,P.S. 142 Amalia Castro,Elementary,Meeting Target,3.23,Proficient,Proficient,Proficient,74%,83%,81%,Meeting Target,3.55,Proficient,79%,85%,85%,Meeting Target,3.09,Proficient,69%,83%,81%,Meeting Target,0.39,1.00,0.24,0.09,0.18,0.29,3.42,65.1%,4.02,Meeting Target,3.73,83%,86%,86%,Exceeding Target,4.01,96%,95%,96%,Meeting Target,3.12,84%,90%,90%,DAPHNA GUTMAN,February 2018
