DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school s approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Average Incoming ELA Proficiency (Based on 5th Grade),Average Incoming Math Proficiency (Based on 5th Grade),Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M015,P.S. 015 Roberto Clemente,Elementary,161,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,85.0%,90.0%,83.0%,96.0%,97.0%,94.0%,Well Developed,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,March 2017,.,.,5.0%,23.0%,0.6%,0.89,39.8%,77.0%,12.4%,28.0%,55.3%,3.7%,8.90,64.0%,92.8%,22.7%,97.4%
01M019,P.S. 019 Asher Levy,Elementary,239,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,87.0%,92.0%,85.0%,90.0%,98.0%,91.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,October 2016,.,.,3.3%,42.7%,11.3%,0.69,15.5%,54.8%,5.9%,21.8%,62.3%,6.7%,9.90,75.0%,90.9%,34.3%,96.6%
01M020,P.S. 020 Anna Silver,Elementary,439,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,70.0%,77.0%,74.0%,80.0%,95.0%,86.0%,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,April 2017,.,.,14.4%,26.4%,9.3%,0.77,16.4%,64.7%,28.9%,13.0%,50.6%,3.6%,2.90,66.7%,92.5%,29.6%,96.6%
01M034,P.S. 034 Franklin D. Roosevelt,K-8,288,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Not Meeting Target,74.0%,66.0%,64.0%,66.0%,94.0%,76.0%,Developing,Developing,Developing,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Developing,October 2017,.,.,7.6%,39.2%,2.8%,0.95,29.5%,87.5%,2.8%,33.0%,60.1%,2.8%,2.70,54.5%,88.5%,45.5%,96.8%
01M063,The STAR Academy - P.S.63,Elementary,207,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,80.0%,86.0%,87.0%,90.0%,96.0%,92.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Proficient,May-19,.,.,1.9%,36.2%,1.9%,0.76,26.1%,62.3%,1.9%,21.3%,65.2%,8.2%,11.90,59.1%,90.8%,34.7%,96.7%
01M064,P.S. 064 Robert Simon,Elementary,204,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,90.0%,94.0%,86.0%,95.0%,97.0%,95.0%,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,January 2018,.,.,2.9%,30.4%,2.5%,0.90,24.0%,78.4%,3.4%,17.6%,71.1%,5.9%,10.90,75.0%,89.0%,45.6%,97.3%
01M110,P.S. 110 Florence Nightingale,Elementary,338,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,71.0%,79.0%,75.0%,85.0%,94.0%,86.0%,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,October 2016,.,.,2.4%,12.7%,1.2%,0.59,15.4%,42.3%,15.1%,10.7%,44.7%,26.0%,11.10,70.8%,94.1%,22.9%,97.4%
01M134,P.S. 134 Henrietta Szold,Elementary,267,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,69.0%,61.0%,57.0%,64.0%,91.0%,77.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,10-Nov-15,.,.,9.0%,44.9%,14.6%,0.92,22.1%,86.9%,9.7%,25.5%,60.7%,3.0%,1.00,83.9%,89.3%,45.5%,96.2%
01M140,P.S. 140 Nathan Straus,K-8,373,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,77.0%,83.0%,67.0%,88.0%,93.0%,89.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,January 2018,.,.,11.5%,38.1%,16.4%,0.90,25.7%,81.2%,4.6%,13.7%,79.1%,2.7%,4.10,75.0%,88.6%,46.3%,96.4%
01M142,P.S. 142 Amalia Castro,Elementary,302,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,74.0%,79.0%,69.0%,83.0%,96.0%,84.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,February 2018,.,.,8.6%,40.4%,11.9%,0.91,35.4%,80.1%,2.3%,15.2%,79.5%,1.0%,4.00,57.5%,90.9%,34.9%,97.6%
