School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,NYC GEOG DIST # 6 - MANHATTAN ,"$5,232.75","$1,325.14","$3,633.40",$13.82,"$10,205.12",$746.27,$413.47,$0.00,"$1,159.74",$631.37,$349.81,$430.73,"$1,411.92","$12,776.77","$20,478.85","$11,889.28",$594.88,$0.00,$16.31,$22.70,$199.98,$53.61,$887.49,"$20,478.85","$11,729.43","$3,073.89",$840.07,$0.00,$0.00,$0.00
AMISTAD DUAL LANGUAGE SCHOOL,NYC GEOG DIST # 6 - MANHATTAN ,"$5,295.98","$2,459.99","$4,297.20",$182.11,"$12,235.28",$736.99,$408.33,$0.00,"$1,145.33",$397.14,$220.04,$818.36,"$1,435.54","$14,816.15","$22,518.22","$13,935.60",$590.93,$91.79,$30.00,$69.27,$98.55,$0.00,$880.55,"$22,518.22","$19,926.80","$17,764.32",$444.10,$0.00,$0.00,$0.00
CASTLE BRIDGE SCHOOL,NYC GEOG DIST # 6 - MANHATTAN ,"$8,333.25","$4,969.07","$7,370.16",$106.76,"$20,779.24",$764.41,$423.52,$0.00,"$1,187.93",$314.98,$174.51,"$1,216.79","$1,706.29","$23,673.46","$31,375.54","$22,752.13",$387.68,$0.00,$59.68,$0.00,$473.96,$0.00,$921.33,"$31,375.54","$39,522.54","$21,913.61",$489.49,$0.00,$0.00,"$13,992.44"
CITY COLLEGE ACADEMY OF THE ARTS,NYC GEOG DIST # 6 - MANHATTAN ,"$5,452.35",$850.14,"$3,491.90",$0.00,"$9,794.39",$997.78,$552.82,$0.00,"$1,550.59",$527.96,$292.52,$675.06,"$1,495.53","$12,840.52","$20,542.60","$12,107.52",$641.20,$0.00,$20.22,$0.00,$71.57,$0.00,$733.00,"$20,542.60","$15,817.82","$10,822.06",$820.47,$0.00,$0.00,$0.00
COLLEGE ACADEMY (THE),NYC GEOG DIST # 6 - MANHATTAN ,"$6,211.68","$2,799.80","$4,992.82",$95.94,"$14,100.24","$1,585.97",$878.71,$0.00,"$2,464.69",$737.43,$408.57,$960.42,"$2,106.42","$18,671.35","$26,373.43","$17,583.76",$815.83,$0.00,$64.09,$24.06,$149.56,$34.05,"$1,087.59","$26,373.43","$15,319.03","$7,989.37",$895.77,$0.00,$0.00,$0.00
COMMUNITY HEALTH ACAD OF THE HEIGHTS,NYC GEOG DIST # 6 - MANHATTAN ,"$6,112.76","$1,098.22","$3,995.25",$0.00,"$11,206.23",$681.34,$377.49,$0.00,"$1,058.83",$476.30,$263.89,$735.01,"$1,475.20","$13,740.27","$21,442.35","$13,131.61",$529.00,$0.00,$19.25,$0.00,$60.40,$0.00,$608.66,"$21,442.35","$10,177.04","$8,858.31",$740.19,$0.00,$0.00,$0.00
COMMUNITY MATH AND SCIENCE PRE,NYC GEOG DIST # 6 - MANHATTAN ,"$10,322.09","$3,625.02","$7,727.41",$60.39,"$21,734.91","$1,514.94",$839.35,$0.00,"$2,354.29","$1,018.82",$564.47,$610.39,"$2,193.68","$26,282.88","$33,984.96","$25,113.72",$851.12,$0.00,$80.14,$0.00,$237.89,$0.00,"$1,169.16","$33,984.96","$20,398.51","$15,145.07","$1,583.29",$0.00,$0.00,$0.00
DOS PUENTES ELEMENTARY SCHOOL,NYC GEOG DIST # 6 - MANHATTAN ,"$5,994.70","$2,488.67","$4,700.22",$120.69,"$13,304.28",$416.40,$230.71,$0.00,$647.11,$529.33,$293.28,"$1,040.33","$1,862.94","$15,814.33","$23,516.41","$15,124.12",$524.92,$0.00,$33.92,$22.65,$108.72,$0.00,$690.21,"$23,516.41","$16,822.09","$33,685.09",$822.61,$0.00,$0.00,$0.00
GREGORIO LUPERON HS-SCI & MATH,NYC GEOG DIST # 6 - MANHATTAN ,"$5,648.40","$1,360.74","$3,883.42",$0.00,"$10,892.56","$1,057.94",$586.15,$0.00,"$1,644.09",$678.16,$375.73,$746.82,"$1,800.72","$14,337.38","$22,039.45","$13,449.43",$790.29,$0.00,$97.66,$0.00,$0.00,$0.00,$887.94,"$22,039.45",$0.00,"$5,237.58","$1,053.15",$0.00,$0.00,$0.00
HAMILTON GRANGE MIDDLE SCHOOL,NYC GEOG DIST # 6 - MANHATTAN ,"$7,156.43","$1,025.83","$4,533.38",$42.52,"$12,758.16",$933.80,$517.37,$0.00,"$1,451.17",$467.88,$259.23,"$1,208.28","$1,935.40","$16,144.73","$23,846.81","$15,456.63",$620.50,$0.00,$15.50,$52.11,$0.00,$0.00,$688.11,"$23,846.81","$18,148.81","$6,042.79",$727.12,$0.00,$0.00,$0.00
