School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACADEMY OF APPLIED MATH AND TECH,NYC GEOG DIST # 7 - BRONX ,"$6,597.55","$2,206.65","$4,877.97",$112.40,"$13,794.57",$975.45,$540.45,$0.00,"$1,515.91",$315.61,$174.86,"$1,916.86","$2,407.33","$17,717.82","$25,419.89","$15,487.14",$947.98,$0.00,$39.70,$19.35,$214.06,"$1,009.57","$2,230.68","$25,419.89","$16,339.87","$9,075.36","$1,255.23","$1,618.06",$0.00,$0.00
ACADEMY OF PUBLIC RELATIONS,NYC GEOG DIST # 7 - BRONX ,"$7,932.02","$2,501.72","$5,780.82","$1,668.79","$17,883.35","$1,362.43",$754.85,$0.00,"$2,117.29",$848.64,$470.19,"$1,719.83","$3,038.66","$23,039.31","$30,741.39","$20,147.52",$887.66,$0.00,$41.30,$237.34,$131.96,"$1,593.52","$2,891.79","$30,741.39","$18,831.27","$14,062.40","$1,318.83",$0.00,$0.00,$0.00
ALFRED E SMITH CAREER-TECH HIGH SCH,NYC GEOG DIST # 7 - BRONX ,"$7,718.51","$1,899.65","$5,328.95",$0.00,"$14,947.12","$1,729.36",$958.15,$0.00,"$2,687.51","$1,247.37",$691.11,$672.92,"$2,611.40","$20,246.02","$27,948.10","$18,913.09",$720.18,$0.00,$27.60,$0.00,$323.75,$261.40,"$1,332.93","$27,948.10","$10,308.07","$11,171.48","$1,771.81",$0.00,$0.00,$0.00
BRONX DESIGN-CONSTRUCTION ACADEMY,NYC GEOG DIST # 7 - BRONX ,"$7,968.13","$1,578.63","$5,289.39",$31.60,"$14,867.76","$1,171.35",$648.99,$0.00,"$1,820.34","$1,216.68",$674.10,"$1,145.40","$3,036.18","$19,724.28","$27,426.36","$17,955.70","$1,106.09",$0.00,$26.66,$276.25,$101.75,$257.82,"$1,768.58","$27,426.36","$9,624.78","$5,231.48","$1,771.92",$0.00,$0.00,$0.00
BRONX HAVEN HIGH SCHOOL,NYC GEOG DIST # 7 - BRONX ,"$7,742.81","$1,073.97","$4,884.94",$74.50,"$13,776.23","$1,980.97","$1,097.56",$0.00,"$3,078.52","$1,013.95",$561.78,"$2,272.62","$3,848.36","$20,703.12","$28,405.20","$19,657.37","$1,005.46",$0.00,$0.00,$0.00,$0.00,$40.28,"$1,045.74","$28,405.20","$8,380.78","$9,769.08","$1,111.13",$0.00,$0.00,$0.00
BRONX LEADERSHIP ACAD II HIGH SCHOOL,NYC GEOG DIST # 7 - BRONX ,"$6,565.65","$2,325.11","$4,925.94",$0.00,"$13,816.70","$1,126.97",$624.40,$0.00,"$1,751.37","$1,169.01",$647.69,"$1,161.21","$2,977.92","$18,545.99","$26,248.07","$17,156.83",$996.48,$0.00,$9.80,$0.00,$119.84,$263.03,"$1,389.16","$26,248.07","$16,716.35","$8,736.65","$1,682.65",$0.00,$0.00,$0.00
CAREERS IN SPORTS HS,NYC GEOG DIST # 7 - BRONX ,"$6,494.55","$1,702.16","$4,541.40",$16.13,"$12,754.24",$853.24,$472.74,$0.00,"$1,325.98",$658.12,$364.63,"$1,900.65","$2,923.41","$17,003.63","$24,705.71","$15,967.45",$901.65,$0.00,$23.20,$11.32,$51.30,$48.71,"$1,036.18","$24,705.71","$10,098.35","$3,131.12","$1,822.19",$901.25,$0.00,$0.00
COMMUNITY SCHOOL-SOCIAL JUSTICE,NYC GEOG DIST # 7 - BRONX ,"$6,722.54","$1,480.23","$4,544.75",$80.71,"$12,828.24","$1,408.98",$780.65,$0.00,"$2,189.63","$1,316.46",$729.39,$474.48,"$2,520.33","$17,538.20","$25,240.28","$16,000.92",$960.70,$0.00,$29.71,$12.83,$473.02,$61.01,"$1,537.28","$25,240.28","$16,191.65",$254.76,"$2,045.85",$0.00,$0.00,$0.00
CONCOURSE VILLAGE ELEMENTARY SCHOOL,NYC GEOG DIST # 7 - BRONX ,"$6,275.34","$2,340.09","$4,773.39",$144.17,"$13,533.00",$688.74,$381.59,$0.00,"$1,070.33",$873.70,$484.07,"$1,197.86","$2,555.64","$17,158.97","$24,861.04","$16,077.03",$838.30,$0.00,$42.40,$17.44,$67.88,$115.91,"$1,081.93","$24,861.04","$20,286.35","$20,088.65","$1,357.77",$0.00,$0.00,"$17,748.92"
HEALTH OPPORTUNITIES HIGH SCHOOL,NYC GEOG DIST # 7 - BRONX ,"$5,786.67","$1,172.15","$3,855.54",$58.40,"$10,872.76","$1,156.38",$640.69,$0.00,"$1,797.08",$717.88,$397.74,"$1,251.09","$2,366.72","$15,036.57","$22,738.64","$13,868.42","$1,052.16",$0.00,$23.11,$11.64,$46.58,$34.65,"$1,168.14","$22,738.64","$11,491.74","$4,346.39",$949.64,$0.00,$0.00,$0.00
HERO HIGH SCHOOL,NYC GEOG DIST # 7 - BRONX ,"$5,914.79","$1,441.38","$4,075.69",$52.49,"$11,484.35","$1,103.65",$611.48,$0.00,"$1,715.12",$646.31,$358.08,"$1,059.63","$2,064.03","$15,263.50","$22,965.58","$14,439.98",$579.39,$0.00,$22.54,$59.28,$0.00,$162.31,$823.53,"$22,965.58","$12,561.28","$7,594.67","$1,004.39",$0.00,$0.00,$0.00
