School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACAD-PERSONAL LDSHP AND EXCELLENCE,NYC GEOG DIST #10 - BRONX ,"$8,215.10","$3,517.37","$6,500.39",$30.78,"$18,263.64","$1,126.88",$624.35,$0.00,"$1,751.23","$1,255.77",$695.76,"$2,152.53","$4,104.07","$24,118.94","$31,821.01","$23,050.52",$926.69,$0.00,$10.16,$5.18,$65.04,$61.34,"$1,068.41","$31,821.01","$30,311.05","$5,821.49","$2,870.83",$919.29,$0.00,$0.00
AMPARK NEIGHBORHOOD,NYC GEOG DIST #10 - BRONX ,"$5,608.98","$2,957.15","$4,746.07",$92.38,"$13,404.58",$726.68,$402.62,$0.00,"$1,129.31",$197.60,$109.48,$241.82,$548.91,"$15,082.79","$22,784.87","$14,505.71",$78.73,$97.69,$2.52,$16.22,$334.83,$47.08,$577.08,"$22,784.87","$19,058.67","$7,841.31",$307.08,$0.00,$0.00,"$15,181.91"
ANGELO PATRI MIDDLE SCHOOL (THE),NYC GEOG DIST #10 - BRONX ,"$8,568.91","$3,242.91","$6,544.35",$127.66,"$18,483.83","$1,091.71",$604.86,$0.00,"$1,696.57","$1,260.68",$698.48,"$2,549.19","$4,508.35","$24,688.76","$32,390.84","$23,055.15","$1,176.76",$0.00,$32.61,$12.76,$385.10,$26.37,"$1,633.61","$32,390.84","$23,276.38","$4,897.17","$3,084.58","$4,180.94",$0.00,$0.00
BEDFORD PARK ELEMENTARY SCHOOL,NYC GEOG DIST #10 - BRONX ,"$5,582.84","$1,848.08","$4,117.11",$58.80,"$11,606.83",$664.88,$368.38,$0.00,"$1,033.26",$274.47,$152.07,"$1,066.49","$1,493.04","$14,133.13","$21,835.21","$13,252.57",$828.53,$0.00,$45.14,$5.61,$0.00,$1.28,$880.56,"$21,835.21","$15,322.36","$12,930.33",$426.54,$0.00,$0.00,"$11,903.84"
BELMONT PREPARATORY HIGH SCHOOL,NYC GEOG DIST #10 - BRONX ,"$6,853.43","$1,486.51","$4,620.75",$0.00,"$12,960.70",$969.30,$537.04,$0.00,"$1,506.35",$845.68,$468.55,$837.68,"$2,151.92","$16,618.96","$24,321.04","$15,526.66",$978.27,$0.00,$29.86,$15.35,$68.83,$0.00,"$1,092.30","$24,321.04","$8,489.53","$5,753.54","$1,314.23",$0.00,$0.00,$0.00
BRONX ACAD FOR SOFTWARE ENGINEERING,NYC GEOG DIST #10 - BRONX ,"$6,957.09","$1,539.90","$4,707.77",$33.77,"$13,238.52",$747.11,$413.93,$0.00,"$1,161.04","$1,167.14",$646.65,"$1,014.76","$2,828.55","$17,228.12","$24,930.20","$16,199.64",$678.81,$0.00,$21.91,$14.53,$126.30,$186.92,"$1,028.48","$24,930.20","$13,648.92","$9,658.53","$1,810.61",$0.00,$0.00,$0.00
BRONX COLLABORATIVE HIGH SCHOOL,NYC GEOG DIST #10 - BRONX ,"$6,804.23","$1,152.89","$4,408.65",$86.40,"$12,452.18",$853.17,$472.70,$0.00,"$1,325.87","$1,112.65",$616.47,$879.74,"$2,608.86","$16,386.91","$24,088.99","$15,194.24",$871.26,$0.00,$29.40,$279.75,$12.26,$0.00,"$1,192.66","$24,088.99","$11,425.83","$4,406.44","$1,729.12",$0.00,$0.00,$0.00
BRONX DANCE ACADEMY SCHOOL,NYC GEOG DIST #10 - BRONX ,"$6,150.10","$1,472.75","$4,223.45",$277.28,"$12,123.59","$1,150.49",$637.43,$0.00,"$1,787.92",$326.63,$180.97,$495.08,"$1,002.68","$14,914.19","$22,616.27","$13,920.79",$859.70,$0.00,$0.00,$21.98,$38.41,$73.31,$993.40,"$22,616.27","$11,997.75","$7,714.18",$507.60,$0.00,$0.00,$0.00
BRONX ENG & TECH ACADEMY,NYC GEOG DIST #10 - BRONX ,"$6,965.52","$1,291.54","$4,574.83",$90.91,"$12,922.80","$1,021.69",$566.07,$0.00,"$1,587.76",$633.26,$350.86,"$1,145.48","$2,129.60","$16,640.17","$24,342.24","$15,582.78",$893.41,$0.00,$34.18,$16.04,$0.00,$113.75,"$1,057.39","$24,342.24","$9,017.34","$4,451.96",$869.87,$0.00,$0.00,$0.00
BRONX HIGH SCHOOL OF SCIENCE,NYC GEOG DIST #10 - BRONX ,"$4,134.65",$687.47,"$2,671.70",$0.00,"$7,493.82",$475.96,$263.71,$0.00,$739.67,$468.18,$259.39,$327.95,"$1,055.52","$9,289.01","$16,991.09","$9,278.76",$0.10,$0.00,$3.11,$0.99,$4.10,$1.95,$10.25,"$16,991.09","$1,243.41","$3881.15",$604.40,$0.00,$0.00,$0.00
BRONX HIGH SCHOOL-LAW & COMM SVC,NYC GEOG DIST #10 - BRONX ,"$6,689.21","$2,208.32","$4,929.68",$0.00,"$13,827.21","$1,151.06",$637.75,$0.00,"$1,788.81","$1,088.62",$603.15,$826.86,"$2,518.63","$18,134.66","$25,836.73","$16,588.80",$937.41,$0.00,$37.35,$15.68,$95.18,$460.22,"$1,545.85","$25,836.73","$12,077.37","$3,251.79","$1,691.77",$0.00,$0.00,$0.00
BRONX SCHOOL OF LAW & FINANCE,NYC GEOG DIST #10 - BRONX ,"$5,879.27","$1,761.03","$4,233.11",$0.00,"$11,873.41","$1,219.53",$675.68,$0.00,"$1,895.21","$2,268.94","$1,257.11",$585.67,"$4,111.72","$17,880.34","$25,582.42","$15,846.66","$1,051.05",$0.00,$47.63,$17.09,$778.68,$139.22,"$2,033.68","$25,582.42","$10,477.75","$4,940.54","$3,526.05",$0.00,$0.00,$0.00
BRONX SCHOOL OF YOUNG LEADERS (THE),NYC GEOG DIST #10 - BRONX ,"$5,799.72","$2,972.97","$4,860.52",$169.86,"$13,803.08","$1,157.48",$641.30,$0.00,"$1,798.78",$886.80,$491.33,"$2,838.79","$4,216.92","$19,818.78","$27,520.86","$18,178.62","$1,149.23",$0.00,$28.20,$13.73,$213.13,$235.87,"$1,640.17","$27,520.86","$17,619.99","$10,591.21","$2,130.98","$2,313.82",$0.00,$0.00
