School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACAD FOR COLLEGE PREP AND CAREER EXP,NYC GEOG DIST #17 - BROOKLYN ,"$5,267.70","$1,526.76","$3,764.48",$0.00,"$10,558.94","$1,624.85",$900.25,$0.00,"$2,525.11",$626.02,$346.85,$945.29,"$1,918.16","$15,002.22","$22,704.29","$13,836.94",$690.01,$0.00,$25.28,$169.84,$280.15,$0.00,"$1,165.28","$22,704.29","$14,731.86","$4,308.79",$972.87,$0.00,$0.00,$0.00
ACADEMY FOR HEALTH CAREERS,NYC GEOG DIST #17 - BROOKLYN ,"$7,912.84","$1,240.09","$5,071.19",$141.23,"$14,365.35","$1,559.40",$863.98,$0.00,"$2,423.38",$744.29,$412.37,$867.33,"$2,023.99","$18,812.73","$26,514.80","$17,727.92",$842.45,$0.00,$0.00,$0.00,$28.15,$214.20,"$1,084.81","$26,514.80","$12,302.57","$9,979.92","$1,139.61",$0.00,$0.00,$0.00
ACADEMY OF HOSPITALITY AND TOURISM,NYC GEOG DIST #17 - BROOKLYN ,"$7,622.84","$2,571.39","$5,648.12",$0.00,"$15,842.35","$1,752.46",$970.95,$0.00,"$2,723.41",$547.60,$303.39,$683.44,"$1,534.43","$20,100.19","$27,802.27","$18,999.12",$887.00,$0.00,$114.41,$0.00,$0.00,$99.64,"$1,101.06","$27,802.27","$13,565.93","$3,472.47",$850.99,$0.00,$0.00,$0.00
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,NYC GEOG DIST #17 - BROOKLYN ,"$11,017.49","$2,556.70","$7,520.79",$0.00,"$21,094.99","$3,114.94","$1,725.83",$0.00,"$4,840.78","$1,373.24",$760.85,"$1,633.66","$3,767.75","$29,703.52","$37,405.60","$28,262.07","$1,425.57",$0.00,$0.00,$0.00,$15.88,$0.00,"$1,441.45","$37,405.60","$6,773.86","$26,657.33","$1,775.58",$0.00,$0.00,$0.00
BROOKLYN ACADEMY OF SCI & ENVIRON,NYC GEOG DIST #17 - BROOKLYN ,"$5,124.17","$1,149.56","$3,475.97",$23.81,"$9,773.52","$1,179.97",$653.76,$0.00,"$1,833.74","$1,144.22",$633.96,$692.59,"$2,470.78","$14,078.03","$21,780.11","$12,929.04",$724.59,$0.00,$20.90,$0.00,$403.50,$0.00,"$1,148.99","$21,780.11","$11,080.60",$483.33,"$1,778.18",$0.00,$0.00,$0.00
BROOKLYN ARTS AND SCIENCE ELEMENTARY,NYC GEOG DIST #17 - BROOKLYN ,"$5,851.96","$4,122.30","$5,526.25",$131.64,"$15,632.15",$765.00,$423.85,$0.00,"$1,188.85",$283.37,$157.00,$612.62,"$1,052.99","$17,873.99","$25,576.07","$16,293.05",$663.49,$0.00,$35.02,$0.00,$882.43,$0.00,"$1,580.94","$25,576.07","$27,623.53","$15,384.85",$440.37,$0.00,$0.00,"$10,941.37"
BROOKLYN INSTITUTE FOR LIBERAL ARTS,NYC GEOG DIST #17 - BROOKLYN ,"$4,867.06","$1,381.25","$3,461.88",$65.12,"$9,775.32","$1,251.86",$693.59,$0.00,"$1,945.45",$603.19,$334.20,$771.33,"$1,708.71","$13,429.49","$21,131.56","$12,395.93",$726.03,$0.00,$18.96,$67.47,$221.09,$0.00,"$1,033.55","$21,131.56","$6,516.02","$5,644.20",$937.38,$0.00,$0.00,$0.00
BROOKLYN SCHOOL FOR MUSIC & THEATER,NYC GEOG DIST #17 - BROOKLYN ,"$6,151.62","$1,502.16","$4,240.58",$0.00,"$11,894.36","$1,365.54",$756.58,$0.00,"$2,122.11",$707.42,$391.95,$538.00,"$1,637.38","$15,653.86","$23,355.94","$14,327.61",$659.47,$0.00,$0.00,$0.00,$316.19,$350.59,"$1,326.25","$23,355.94","$13,510.32","$29,132.13","$1,099.37",$0.00,$0.00,$0.00
BROWNSVILLE  ACADEMY HIGH SCHOOL,NYC GEOG DIST #17 - BROOKLYN ,"$7,297.10","$3,227.35","$5,831.08",$84.11,"$16,439.65","$1,973.06","$1,093.17",$0.00,"$3,066.23","$1,930.06","$1,069.35","$3,955.46","$6,954.87","$26,460.76","$34,162.84","$25,533.40",$749.10,$0.00,$0.00,$0.00,$178.24,$0.00,$927.36,"$34,162.84","$7,812.50",$0.00,"$5,663.74","$3,549.96",$0.00,$0.00
CLARA BARTON HIGH SCHOOL,NYC GEOG DIST #17 - BROOKLYN ,"$6,123.88","$2,438.92","$4,744.23",$17.01,"$13,324.05","$1,040.04",$576.23,$0.00,"$1,616.27",$853.34,$472.80,$361.74,"$1,687.88","$16,628.20","$24,330.28","$14,891.24","$1,038.99",$0.00,$20.79,$27.24,$466.36,$183.59,"$1,736.96","$24,330.28","$20,361.07","$14,746.82","$1,326.14",$0.00,$0.00,$0.00
