School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
ACTIVE LEARNING ELEMENTARY SCH (THE),NYC GEOG DIST #25 - QUEENS ,"$5,712.60","$2,028.72","$4,289.09",$142.51,"$12,172.92",$646.93,$358.43,$0.00,"$1,005.37",$128.35,$71.11,$482.93,$682.40,"$13,860.69","$21,562.76","$13,260.69",$437.27,$0.00,$68.82,$0.00,$93.90,$0.00,$599.99,"$21,562.76","$19,370.09","$4,952.20",$199.47,$0.00,$0.00,"$14,700.28"
BELL ACADEMY,NYC GEOG DIST #25 - QUEENS ,"$6,361.24","$2,226.83","$4,758.23",$14.29,"$13,360.58",$843.88,$467.55,$0.00,"$1,311.43",$280.51,$155.42,$289.39,$725.32,"$15,397.33","$23,099.41","$14,964.48",$13.52,$0.00,$8.42,$0.00,$182.77,$228.13,$432.85,"$23,099.41","$21,238.30","$39,675.14",$435.93,$0.00,$0.00,$0.00
COLLEGE POINT COLLABORATIVE,NYC GEOG DIST #25 - QUEENS ,"$5,398.25","$1,949.03","$4,070.76",$198.94,"$11,616.97","$1,188.88",$658.70,$0.00,"$1,847.58",$515.53,$285.63,"$1,027.59","$1,828.75","$15,293.32","$22,995.39","$14,889.21",$404.10,$0.00,$0.00,$0.00,$0.00,$0.00,$404.10,"$22,995.39","$17,553.54","$7,001.75",$801.16,$0.00,$0.00,$0.00
EAST-WEST SCHOOL OF INTERNATION STUD,NYC GEOG DIST #25 - QUEENS ,"$7,246.97","$1,589.52","$4,895.87",$38.39,"$13,770.75",$743.63,$412.01,$0.00,"$1,155.64",$322.70,$178.79,$787.39,"$1,288.88","$16,215.27","$23,917.35","$15,621.13",$495.32,$0.00,$18.36,$0.00,$80.46,$0.00,$594.14,"$23,917.35","$36,759.42","$14,211.98",$501.49,$0.00,$0.00,$0.00
FLUSHING HIGH SCHOOL,NYC GEOG DIST #25 - QUEENS ,"$5,733.34","$1,222.86","$3,854.09",$110.81,"$10,921.10",$892.27,$494.36,$0.00,"$1,386.63",$530.89,$294.14,"$2,075.16","$2,900.18","$15,207.91","$22,909.99","$14,285.47",$630.16,$0.00,$36.88,$0.00,$32.83,$222.57,$922.44,"$22,909.99","$12,298.56","$4,517.53","$1,330.02","$2,996.53",$0.00,$0.00
FLUSHING INTRNL HIGH SCHOOL,NYC GEOG DIST #25 - QUEENS ,"$6,685.39","$1,240.46","$4,391.33",$8.62,"$12,325.80","$1,082.19",$599.59,$0.00,"$1,681.78",$593.30,$328.72,"$1,273.36","$2,195.39","$16,202.98","$23,905.05","$14,830.96",$565.40,$0.00,$135.80,$0.00,$0.00,$670.82,"$1,372.02","$23,905.05",$0.00,"$4,522.35","$1,293.81","$1,485.53",$0.00,$0.00
IS 237,NYC GEOG DIST #25 - QUEENS ,"$5,608.16","$1,536.35","$3,958.42",$32.80,"$11,135.72",$494.51,$273.98,$0.00,$768.49,$283.02,$156.81,$678.35,"$1,118.18","$13,022.40","$20,724.48","$12,230.68",$546.96,$0.00,$42.23,$0.00,$142.38,$60.15,$791.72,"$20,724.48","$21,965.45","$5,286.63",$439.83,$0.00,$0.00,$0.00
IS 25 ADRIEN BLOCK,NYC GEOG DIST #25 - QUEENS ,"$5,358.28","$1,501.03","$3,800.41",$0.00,"$10,659.72",$517.51,$286.72,$0.00,$804.23,$486.45,$269.52,$194.82,$950.78,"$12,414.73","$20,116.81","$12,172.64",$22.53,$0.00,$30.55,$0.00,$110.26,$78.75,$242.10,"$20,116.81","$23,042.13","$8,514.66",$755.97,$0.00,$0.00,$0.00
IS 250 ROBERT F KENNEDY COMM MS (THE,NYC GEOG DIST #25 - QUEENS ,"$7,629.36","$1,499.34","$5,057.77",$44.08,"$14,230.55",$822.82,$455.88,$0.00,"$1,278.70",$272.80,$151.15,$218.13,$642.08,"$16,151.34","$23,853.42","$15,331.98",$556.79,$0.00,$48.28,$65.78,$115.99,$32.50,$819.36,"$23,853.42","$17,667.35","$6,474.61",$423.95,$0.00,$0.00,$0.00
JHS 185 EDWARD BLEEKER,NYC GEOG DIST #25 - QUEENS ,"$5,646.30","$1,263.61","$3,828.44",$26.68,"$10,765.03",$400.53,$221.91,$0.00,$622.44,$351.17,$194.56,$469.25,"$1,014.98","$12,402.45","$20,104.53","$11,783.46",$462.09,$0.00,$23.25,$0.00,$78.38,$55.27,$618.99,"$20,104.53","$17,886.65","$5,159.51",$545.73,$0.00,$0.00,$0.00
