School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
BAYSIDE HIGH SCHOOL,NYC GEOG DIST #26 - QUEENS ,"$5,477.74","$1,285.30","$3,747.07",$0.00,"$10,510.10",$586.64,$325.03,$0.00,$911.67,$769.46,$426.32,$289.55,"$1,485.33","$12,907.09","$20,609.17","$12,280.57",$452.17,$0.00,$11.91,$0.00,$65.40,$97.04,$626.52,"$20,609.17","$9,924.48","$6,879.91","$1,105.58",$0.00,$0.00,$0.00
BENJAMIN N CARDOZO HIGH SCHOOL,NYC GEOG DIST #26 - QUEENS ,"$4,937.69",$779.78,"$3,167.77",$3.19,"$8,888.43",$349.78,$193.80,$0.00,$543.58,$414.26,$229.52,$129.14,$772.92,"$10,204.93","$17,907.00","$10,130.77",$18.13,$0.00,$7.89,$0.00,$25.31,$22.83,$74.16,"$17,907.00","$11,903.68","$10,023.29",$622.00,$0.00,$0.00,$0.00
BUSINESS TECHNOLOGY EARLY COLLEGE HS,NYC GEOG DIST #26 - QUEENS ,"$4,813.93","$1,206.73","$3,335.76",$33.33,"$9,389.76",$770.50,$426.90,$0.00,"$1,197.40",$544.04,$301.42,"$1,277.28","$2,122.74","$12,709.90","$20,411.97","$12,374.94",$289.03,$0.00,$0.00,$0.00,$0.00,$45.92,$334.95,"$20,411.97","$12,462.93","$15,226.71",$699.47,$0.00,$0.00,$0.00
FRANCIS LEWIS HIGH SCHOOL,NYC GEOG DIST #26 - QUEENS ,"$5,164.16","$1,134.42","$3,489.74",$5.59,"$9,793.91",$363.66,$201.49,$0.00,$565.15,$472.43,$261.75,$272.52,"$1,006.71","$11,365.77","$19,067.84","$10,697.60",$419.87,$0.00,$10.64,$0.00,$80.49,$157.16,$668.17,"$19,067.84","$14,245.22","$7,715.18",$681.95,$0.00,$0.00,$0.00
IRWIN ALTMAN MIDDLE SCHOOL 172,NYC GEOG DIST #26 - QUEENS ,"$5,898.97","$1,326.76","$4,003.42",$17.43,"$11,246.59",$577.05,$319.71,$0.00,$896.76,$451.92,$250.39,$223.44,$925.74,"$13,069.09","$20,771.17","$12,830.94",$9.41,$0.00,$17.06,$0.00,$126.78,$84.89,$238.15,"$20,771.17","$19,998.88","$7,793.40",$702.30,$0.00,$0.00,$0.00
JAMES J AMBROSE SCHOOL (THE),NYC GEOG DIST #26 - QUEENS ,"$5,117.94","$1,717.88","$3,787.39",$40.12,"$10,663.33",$321.20,$177.96,$0.00,$499.16,$397.85,$220.43,$197.79,$816.08,"$11,978.57","$19,680.64","$11,748.72",$9.01,$77.03,$17.55,$0.00,$126.26,$0.00,$229.85,"$19,680.64","$27,383.27","$7,110.98",$618.29,$0.00,$0.00,"$13,534.28"
JHS 216 GEORGE J RYAN,NYC GEOG DIST #26 - QUEENS ,"$4,919.10",$898.52,"$3,223.26",$29.15,"$9,070.02",$469.19,$259.96,$0.00,$729.15,$281.45,$155.94,$619.86,"$1,057.24","$10,856.42","$18,558.49","$10,743.76",$48.36,$0.00,$12.05,$0.00,$52.25,$0.00,$112.66,"$18,558.49","$18,493.88","$6,707.13",$437.38,$0.00,$0.00,$0.00
JHS 67 LOUIS PASTEUR,NYC GEOG DIST #26 - QUEENS ,"$4,998.96",$982.26,"$3,313.90",$7.36,"$9,302.48",$560.72,$310.67,$0.00,$871.38,$130.56,$72.34,$322.21,$525.11,"$10,698.98","$18,401.05","$10,542.89",$11.03,$0.00,$16.73,$0.00,$24.88,$103.44,$156.09,"$18,401.05","$18,462.04","$3,784.42",$202.90,$0.00,$0.00,$0.00
JHS 74 NATHANIEL HAWTHORNE,NYC GEOG DIST #26 - QUEENS ,"$5,468.14","$1,635.62","$3,935.85",$32.08,"$11,071.68",$566.43,$313.83,$0.00,$880.26,$332.30,$184.11,$318.63,$835.04,"$12,786.98","$20,489.06","$12,541.69",$16.90,$0.00,$12.11,$0.00,$144.63,$71.64,$245.29,"$20,489.06","$21,189.62","$11,346.93",$516.41,$0.00,$0.00,$0.00
MARTIN VAN BUREN HIGH SCHOOL,NYC GEOG DIST #26 - QUEENS ,"$6,757.69","$1,336.22","$4,484.44",$18.10,"$12,596.45","$1,153.68",$639.20,$0.00,"$1,792.88",$652.17,$361.34,"$1,355.42","$2,368.93","$16,758.25","$24,460.33","$16,013.90",$549.83,$0.00,$15.67,$0.00,$44.79,$134.05,$744.35,"$24,460.33","$17,553.61","$6,134.09","$1,205.98","$1,868.93",$0.00,$0.00
MS 158 MARIE CURIE,NYC GEOG DIST #26 - QUEENS ,"$5,190.36","$1,036.50","$3,450.00",$10.67,"$9,687.53",$489.92,$271.44,$0.00,$761.36,$401.22,$222.30,$177.94,$801.46,"$11,250.36","$18,952.43","$10,965.98",$9.73,$0.00,$14.37,$0.00,$186.85,$73.43,$284.37,"$18,952.43","$15,017.91","$10,990.14",$623.52,$0.00,$0.00,$0.00
PS 133,NYC GEOG DIST #26 - QUEENS ,"$6,666.41","$2,278.94","$4,956.18",$59.69,"$13,961.23",$490.01,$271.49,$0.00,$761.50,$279.83,$155.04,$376.99,$811.87,"$15,534.59","$23,236.67","$15,285.57",$25.92,$81.64,$26.61,$0.00,$114.84,$0.00,$249.02,"$23,236.67","$27,740.12","$10,294.81",$434.88,$0.00,$0.00,"$21,560.29"
PS 159,NYC GEOG DIST #26 - QUEENS ,"$5,993.68","$1,916.84","$4,382.83",$69.33,"$12,362.69",$603.39,$334.31,$0.00,$937.71,$421.34,$233.44,$279.58,$934.36,"$14,234.75","$21,936.83","$13,964.52",$26.76,$88.83,$28.79,$0.00,$125.85,$0.00,$270.23,"$21,936.83","$23,368.30","$4,398.55",$654.78,$0.00,$0.00,"$18,308.64"
PS 162 JOHN GOLDEN,NYC GEOG DIST #26 - QUEENS ,"$5,985.16","$2,178.59","$4,523.13",$20.30,"$12,707.18",$419.39,$232.37,$0.00,$651.76,$291.35,$161.42,$108.29,$561.06,"$13,920.01","$21,622.09","$13,588.05",$8.85,$53.04,$22.18,$0.00,$247.88,$0.00,$331.96,"$21,622.09","$27,640.50","$6,580.42",$452.78,$0.00,$0.00,"$16,018.28"
PS 173 FRESH MEADOWS,NYC GEOG DIST #26 - QUEENS ,"$5,358.26","$1,754.95","$3,941.08",$38.70,"$11,092.99",$438.70,$243.06,$0.00,$681.76,$192.83,$106.84,$154.35,$454.02,"$12,228.77","$19,930.85","$12,087.31",$12.12,$47.67,$17.93,$0.00,$63.74,$0.00,$141.47,"$19,930.85","$21,627.80","$8,270.59",$299.67,$0.00,$0.00,"$14,126.11"
PS 18 WINCHESTER,NYC GEOG DIST #26 - QUEENS ,"$5,988.13","$1,314.50","$4,046.03",$23.16,"$11,371.83",$481.32,$266.67,$0.00,$747.99,$69.38,$38.44,$172.77,$280.59,"$12,400.41","$20,102.49","$12,331.04",$12.97,$35.97,$20.43,$0.00,$0.00,$0.00,$69.37,"$20,102.49","$18,110.67","$3,829.75",$107.83,$0.00,$0.00,"$14,138.69"
PS 186 CASTLEWOOD,NYC GEOG DIST #26 - QUEENS ,"$13,780.19","$4,876.41","$10,336.70",$190.69,"$29,183.99",$764.98,$423.84,$0.00,"$1,188.81",$689.32,$381.92,$562.62,"$1,633.86","$32,006.67","$39,708.75","$31,912.31",$5.65,$59.33,$6.92,$0.00,$22.46,$0.00,$94.36,"$39,708.75","$79,788.84","$44,121.25","$1,071.24",$0.00,$0.00,"$16,356.03"
PS 188 KINGSBURY,NYC GEOG DIST #26 - QUEENS ,"$5,334.29","$1,600.88","$3,842.44",$0.00,"$10,777.61",$397.46,$220.21,$0.00,$617.67,$54.71,$30.31,$60.85,$145.88,"$11,541.16","$19,243.23","$11,442.56",$0.66,$36.78,$4.47,$0.00,$56.68,$0.00,$98.60,"$19,243.23","$24,169.51","$10,177.32",$85.03,$0.00,$0.00,"$14,425.86"
PS 191 MAYFLOWER,NYC GEOG DIST #26 - QUEENS ,"$6,124.51","$2,113.82","$4,564.45",$35.34,"$12,838.12",$797.37,$441.79,$0.00,"$1,239.16",$106.44,$58.97,$181.99,$347.40,"$14,424.69","$22,126.77","$14,274.70",$15.62,$66.04,$25.39,$0.00,$42.92,$0.00,$149.99,"$22,126.77","$27,656.85","$4,774.52",$165.41,$0.00,$0.00,"$14,801.92"
PS 203 OAKLAND GARDENS,NYC GEOG DIST #26 - QUEENS ,"$5,444.58","$2,154.44","$4,210.24",$15.63,"$11,824.89",$321.44,$178.09,$0.00,$499.53,$359.17,$199.00,$135.97,$694.15,"$13,018.57","$20,720.65","$12,824.71",$3.84,$45.66,$22.61,$0.00,$121.74,$0.00,$193.86,"$20,720.65","$31,352.49","$6,649.37",$558.17,$0.00,$0.00,"$14,116.63"
PS 205 ALEXANDER GRAHAM BELL,NYC GEOG DIST #26 - QUEENS ,"$6,604.20","$3,322.80","$5,500.06",$0.00,"$15,427.06",$575.74,$318.99,$0.00,$894.73,$754.00,$417.75,$169.31,"$1,341.07","$17,662.87","$25,364.95","$17,022.12",$8.87,$22.89,$8.00,$0.00,$600.97,$0.00,$640.74,"$25,364.95","$27,366.92","$9,906.18","$1,171.76",$0.00,$0.00,"$13,512.23"
PS 213 CARL ULLMAN SCHOOL (THE),NYC GEOG DIST #26 - QUEENS ,"$6,198.85","$2,865.44","$5,022.08",$0.00,"$14,086.37",$636.40,$352.60,$0.00,$989.00,$400.09,$221.67,$263.51,$885.28,"$15,960.66","$23,662.73","$15,819.55",$29.10,$79.51,$30.77,$0.00,$1.71,$0.00,$141.10,"$23,662.73","$31,442.32","$2,869.59",$621.76,$0.00,$0.00,"$15,352.16"
PS 221 NORTH HILLS SCHOOL (THE),NYC GEOG DIST #26 - QUEENS ,"$5,527.13","$2,205.28","$4,284.15",$0.00,"$12,016.56",$471.45,$261.21,$0.00,$732.66,$433.33,$240.09,$127.70,$801.12,"$13,550.34","$21,252.41","$13,250.08",$5.20,$76.48,$22.67,$0.00,$195.90,$0.00,$300.26,"$21,252.41","$27,129.07","$4,733.51",$673.41,$0.00,$0.00,"$12,352.84"
PS 26 RUFUS KING,NYC GEOG DIST #26 - QUEENS ,"$5,915.72","$1,898.22","$4,329.32",$44.51,"$12,187.78",$386.50,$214.14,$0.00,$600.63,$353.51,$195.86,$671.69,"$1,221.07","$14,009.49","$21,711.56","$13,189.76",$457.90,$183.23,$15.71,$0.00,$162.87,$0.00,$819.72,"$21,711.56","$18,681.49","$3,893.88",$549.38,$0.00,$0.00,"$17,810.97"
PS 31 BAYSIDE,NYC GEOG DIST #26 - QUEENS ,"$6,526.06","$2,324.00","$4,903.39",$0.00,"$13,753.45",$588.77,$326.21,$0.00,$914.99,$317.41,$175.86,$134.68,$627.95,"$15,296.39","$22,998.47","$14,968.80",$1.27,$168.13,$31.77,$0.00,$126.42,$0.00,$327.59,"$22,998.47","$21,112.39","$6,019.18",$493.28,$0.00,$0.00,"$15,122.31"
PS 376,NYC GEOG DIST #26 - QUEENS ,"$5,781.86","$2,853.76","$4,784.58",$124.41,"$13,544.62",$883.34,$489.41,$0.00,"$1,372.76",$313.08,$173.46,$398.99,$885.52,"$15,802.91","$23,504.99","$15,790.44",$7.94,$0.00,$4.53,$0.00,$0.00,$0.00,$12.46,"$23,504.99","$28,852.13","$6,134.39",$486.54,$0.00,$0.00,"$11,309.64"
PS 41 CROCHERON,NYC GEOG DIST #26 - QUEENS ,"$6,151.56","$3,501.32","$5,348.19",$29.16,"$15,030.22",$583.97,$323.55,$0.00,$907.52,$488.12,$270.44,$107.33,$865.90,"$16,803.64","$24,505.72","$16,251.83",$25.57,$152.25,$25.47,$0.00,$348.52,$0.00,$551.82,"$24,505.72","$33,030.33","$7,146.49",$758.56,$0.00,$0.00,$0.00
PS 46 ALLEY POND,NYC GEOG DIST #26 - QUEENS ,"$7,619.47","$4,908.86","$6,941.34",$52.30,"$19,521.97",$513.34,$284.41,$0.00,$797.75,$459.81,$254.76,$436.39,"$1,150.96","$21,470.69","$29,172.76","$21,102.40",$7.25,$30.66,$29.99,$0.00,$300.38,$0.00,$368.28,"$29,172.76","$41,888.86","$12,955.97",$714.57,$0.00,$0.00,"$15,597.86"
PS 94 DAVID D PORTER,NYC GEOG DIST #26 - QUEENS ,"$7,378.86","$2,619.16","$5,539.41",$7.06,"$15,544.50",$537.78,$297.95,$0.00,$835.74,$379.89,$210.48,$226.31,$816.68,"$17,196.91","$24,898.99","$16,680.75",$20.09,$160.32,$46.19,$0.00,$289.56,$0.00,$516.16,"$24,898.99","$36,593.22","$11,514.48",$590.36,$0.00,$0.00,$0.00
PS 98 DOUGLASTON SCHOOL (THE),NYC GEOG DIST #26 - QUEENS ,"$7,320.44","$3,006.11","$5,721.43",$24.56,"$16,072.54",$691.73,$383.25,$0.00,"$1,074.98",$231.52,$128.27,$137.91,$497.70,"$17,645.23","$25,347.31","$17,630.25",$2.40,$0.00,$6.55,$0.00,$6.02,$0.00,$14.98,"$25,347.31","$24,008.92","$26,166.57",$359.80,$0.00,$0.00,"$13,936.00"
PS/IS 178 HOLLISWOOD,NYC GEOG DIST #26 - QUEENS ,"$5,470.48","$2,076.48","$4,181.40",$117.90,"$11,846.26",$473.42,$262.30,$0.00,$735.71,$448.53,$248.51,$237.81,$934.85,"$13,516.82","$21,218.90","$13,291.89",$15.26,$65.77,$1.09,$0.00,$142.80,$0.00,$224.93,"$21,218.90","$23,352.20","$4,845.24",$697.04,$0.00,$0.00,"$15,024.68"
PS/IS 266,NYC GEOG DIST #26 - QUEENS ,"$6,910.36","$2,257.78","$5,079.61",$4.59,"$14,252.34",$445.17,$246.64,$0.00,$691.81,$456.07,$252.69,$140.50,$849.26,"$15,793.41","$23,495.48","$15,497.39",$5.10,$73.35,$4.76,$0.00,$62.40,$150.41,$296.02,"$23,495.48","$20,931.40","$14,631.89",$708.76,$0.00,$0.00,"$14,450.16"
QUEENS HIGH SCHOOL OF TEACHING,NYC GEOG DIST #26 - QUEENS ,"$5,252.10","$1,283.43","$3,621.01",$64.59,"$10,221.13",$657.48,$364.28,$0.00,"$1,021.75",$449.46,$249.02,$323.60,"$1,022.09","$12,264.97","$19,967.05","$12,178.60",$10.04,$0.00,$3.74,$0.00,$72.60,$0.00,$86.38,"$19,967.05","$13,723.19","$10,132.62",$698.48,$0.00,$0.00,$0.00
