School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
BARBARA ESSELBORN SCHOOL (THE),NYC GEOG DIST #31 - STATEN ISLAND ,"$6,575.71","$3,341.23","$5,494.49",$19.88,"$15,431.31",$524.54,$290.62,$0.00,$815.16,$256.72,$142.24,$197.92,$596.88,"$16,843.34","$24,545.42","$16,429.95",$23.82,$124.53,$17.34,$0.00,$237.66,$10.05,$413.39,"$24,545.42","$29,185.34","$4,600.76",$398.96,$0.00,$0.00,"$18,487.82"
CONCORD HIGH SCHOOL,NYC GEOG DIST #31 - STATEN ISLAND ,"$8,897.63","$1,140.50","$5,561.64",$0.00,"$15,599.77","$2,021.36","$1,119.93",$0.00,"$3,141.29",$852.22,$472.17,"$2,059.46","$3,383.85","$22,124.92","$29,827.00","$21,298.21",$826.71,$0.00,$0.00,$0.00,$0.00,$0.00,$826.71,"$29,827.00","$9,437.72","$53,421.00","$1,324.39",$0.00,$0.00,$0.00
CSI HS-INTERNATIONAL STUDIES,NYC GEOG DIST #31 - STATEN ISLAND ,"$5,421.47","$1,464.45","$3,815.15",$0.00,"$10,701.07",$649.07,$359.62,$0.00,"$1,008.69",$608.28,$337.02,$154.46,"$1,099.75","$12,809.51","$20,511.59","$12,670.27",$7.48,$0.00,$6.72,$0.00,$125.04,$0.00,$139.24,"$20,511.59","$18,322.67","$3,305.33",$945.29,$0.00,$0.00,$0.00
CURTIS HIGH SCHOOL,NYC GEOG DIST #31 - STATEN ISLAND ,"$5,423.79","$1,100.24","$3,614.64",$13.12,"$10,151.79",$671.71,$372.16,$0.00,"$1,043.87",$585.25,$324.26,$661.81,"$1,571.32","$12,766.98","$20,469.06","$11,879.10",$743.12,$0.00,$20.08,$0.00,$23.11,$101.57,$887.88,"$20,469.06","$9,404.27","$4,938.38",$946.17,$449.05,$0.00,$0.00
EAGLE ACADEMY FOR YOUNG MEN,NYC GEOG DIST #31 - STATEN ISLAND ,"$8,486.23","$1,576.14","$5,575.07",$49.27,"$15,686.72","$1,049.48",$581.47,$0.00,"$1,630.95",$636.12,$352.44,$400.07,"$1,388.62","$18,706.30","$26,408.38","$17,709.90",$758.68,$0.00,$0.00,$0.00,$237.72,$0.00,$996.40,"$26,408.38","$13,452.81","$9,052.11",$988.56,$0.00,$0.00,$0.00
FORT HILL COLLABORATIVE ELEMENTARY,NYC GEOG DIST #31 - STATEN ISLAND ,"$7,917.28","$4,348.63","$6,795.94",$338.52,"$19,400.38","$1,576.28",$873.34,$0.00,"$2,449.62",$552.54,$306.14,$906.82,"$1,765.50","$23,615.51","$31,317.59","$21,852.04","$1,201.41",$0.00,$51.76,$124.66,$385.63,$0.00,"$1,763.46","$31,317.59","$24,801.36","$10,832.00",$858.68,$0.00,$0.00,$0.00
GAYNOR MCCOWN EXPEDITIONARY LEARNING,NYC GEOG DIST #31 - STATEN ISLAND ,"$6,674.04","$2,463.26","$5,062.53",$3.75,"$14,203.58",$720.47,$399.18,$0.00,"$1,119.65",$696.60,$385.95,$320.54,"$1,403.09","$16,726.33","$24,428.40","$16,348.97",$13.11,$0.00,$6.35,$0.00,$357.88,$0.00,$377.35,"$24,428.40","$19,810.41",$921.33,"$1,082.55",$0.00,$0.00,$0.00
HARBOR VIEW SCHOOL (THE),NYC GEOG DIST #31 - STATEN ISLAND ,"$6,547.43","$3,380.08","$5,500.34",$28.09,"$15,455.95",$922.59,$511.16,$0.00,"$1,433.75",$341.57,$189.25,$224.22,$755.04,"$17,644.74","$25,346.82","$16,677.61",$562.94,$0.00,$0.00,$0.00,$404.19,$0.00,$967.13,"$25,346.82","$29,425.49",$0.00,$530.82,$0.00,$0.00,"$12,665.67"
IS 2 GEORGE L EGBERT,NYC GEOG DIST #31 - STATEN ISLAND ,"$6,492.04","$1,765.29","$4,574.98",$40.04,"$12,872.35",$525.68,$291.25,$0.00,$816.94,$271.87,$150.63,$244.92,$667.42,"$14,356.71","$22,058.78","$13,523.33",$615.33,$0.00,$0.00,$0.00,$140.02,$78.02,$833.38,"$22,058.78","$19,043.83","$6,547.55",$422.50,$0.00,$0.00,$0.00
IS 24 MYRA S BARNES,NYC GEOG DIST #31 - STATEN ISLAND ,"$7,664.34","$3,115.21","$5,972.42",$6.37,"$16,758.34",$552.80,$306.28,$0.00,$859.07,$468.77,$259.72,$257.29,$985.79,"$18,603.20","$26,305.28","$17,910.10",$44.68,$0.00,$8.91,$0.00,$563.97,$75.54,$693.10,"$26,305.28","$35,193.16","$22,461.11",$728.50,$0.00,$0.00,$0.00
