School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
DAVID MARQUIS SCHOOL OF THE ARTS,NYC SPEC SCHOOLS - DIST 75 ,"$22,227.82","$44,146.24","$36,774.61",$44.16,"$103,192.83","$1,799.86",$997.21,$0.00,"$2,797.07","$1,096.42",$607.47,$660.73,"$2,364.62","$108,354.53","$116,056.61","$107,359.33",$13.93,$0.00,$5.43,$0.00,$955.02,$20.81,$995.20,"$116,056.61","$103,823.99","$13,449.28","$1,703.89",$0.00,$0.00,"$67,794.29"
JOHN F KENNEDY JR SCHOOL,NYC SPEC SCHOOLS - DIST 75 ,"$15,802.47","$22,879.68","$21,431.88",$7.49,"$60,121.53","$1,493.04",$827.22,$0.00,"$2,320.26","$1,434.20",$794.62,$539.83,"$2,768.65","$65,210.44","$72,912.51","$64,657.71",$27.24,$0.00,$62.04,$0.00,$451.45,$12.00,$552.72,"$72,912.51","$60,573.55","$5,674.83","$2,228.82",$0.00,$0.00,$0.00
MS 596,NYC SPEC SCHOOLS - DIST 75 ,"$17,680.62","$29,867.97","$26,344.33",$4.93,"$73,897.85","$1,420.92",$787.26,$0.00,"$2,208.17",$418.81,$232.04,$382.00,"$1,032.85","$77,138.88","$84,840.96","$77,133.87",$0.00,$0.00,$5.01,$0.00,$0.00,$0.00,$5.01,"$84,840.96","$74,258.06","$13,668.71",$650.85,$0.00,$0.00,"$69,657.39"
PS  4,NYC SPEC SCHOOLS - DIST 75 ,"$26,217.87","$29,460.27","$30,848.52",$0.00,"$86,526.67","$2,071.96","$1,147.97",$0.00,"$3,219.94","$1,211.59",$671.28,$646.66,"$2,529.54","$92,276.15","$99,978.22","$91,625.57",$53.91,$0.00,$31.35,$0.00,$565.31,$0.00,$650.57,"$99,978.22","$87,089.84","$6,795.01","$1,882.88",$0.00,$0.00,"$85,509.05"
PS 10,NYC SPEC SCHOOLS - DIST 75 ,"$18,611.56","$26,728.39","$25,120.64",$7.51,"$70,468.11","$1,482.71",$821.50,$0.00,"$2,304.21",$715.07,$396.19,$471.98,"$1,583.24","$74,355.56","$82,057.63","$73,873.09",$90.41,$0.00,$23.56,$0.00,$340.13,$28.36,$482.46,"$82,057.63","$70,913.44","$6,685.27","$1,111.26",$0.00,$0.00,"$95,361.00"
PS 12 LEWIS AND CLARK SCHOOL,NYC SPEC SCHOOLS - DIST 75 ,"$17,420.68","$16,191.70","$18,622.97",$56.51,"$52,291.85","$1,636.12",$906.49,$0.00,"$2,542.61","$2,444.03","$1,354.12",$574.87,"$4,373.03","$59,207.49","$66,909.57","$58,407.30",$152.01,$0.00,$42.38,$0.00,$526.11,$79.69,$800.19,"$66,909.57","$52,796.36","$3,618.56","$3,798.16",$0.00,$0.00,$0.00
PS 138,NYC SPEC SCHOOLS - DIST 75 ,"$19,010.53","$32,463.91","$28,519.46",$5.82,"$79,999.72","$1,669.78",$925.14,$0.00,"$2,594.92",$797.91,$442.08,$613.43,"$1,853.42","$84,448.06","$92,150.13","$83,913.42",$57.22,$0.00,$31.06,$0.00,$413.17,$33.17,$534.63,"$92,150.13","$80,704.03","$4,121.16","$1,240.00",$0.00,$0.00,"$81,488.17"
PS 140,NYC SPEC SCHOOLS - DIST 75 ,"$20,711.77","$24,991.77","$25,322.08",$2.98,"$71,028.60","$1,803.36",$999.15,$0.00,"$2,802.51","$2,877.74","$1,594.41",$610.75,"$5,082.91","$78,914.02","$86,616.10","$78,114.41",$102.26,$0.00,$40.77,$0.00,$656.57,$0.00,$799.61,"$86,616.10","$71,588.10","$6,898.28","$4,472.16",$0.00,$0.00,$0.00
PS 141,NYC SPEC SCHOOLS - DIST 75 ,"$17,281.40","$26,255.38","$24,121.59",$62.53,"$67,720.90","$2,139.98","$1,185.66",$0.00,"$3,325.64",$930.11,$515.33,"$1,021.24","$2,466.69","$73,513.23","$81,215.31","$72,647.15",$59.21,$0.00,$30.82,$0.00,$776.04,$0.00,$866.08,"$81,215.31","$68,707.01","$9,285.66","$1,445.45",$0.00,$0.00,"$80,016.94"
PS 168,NYC SPEC SCHOOLS - DIST 75 ,"$18,611.55","$21,465.71","$22,204.84",$0.00,"$62,282.10","$1,534.73",$850.32,$0.00,"$2,385.05","$1,474.17",$816.76,$599.67,"$2,890.60","$67,557.74","$75,259.82","$67,043.59",$116.42,$0.00,$35.70,$0.00,$325.26,$36.77,$514.15,"$75,259.82","$62,844.52","$6,362.58","$2,290.93",$0.00,$0.00,"$78,324.20"
PS 169 ROBERT F KENNEDY,NYC SPEC SCHOOLS - DIST 75 ,"$19,882.74","$19,161.78","$21,632.65",$7.65,"$60,684.82","$1,733.08",$960.21,$0.00,"$2,693.29","$2,875.49","$1,593.17",$418.89,"$4,887.56","$68,265.68","$75,967.75","$67,533.66",$62.63,$0.00,$25.63,$0.00,$643.75,$0.00,$732.01,"$75,967.75","$61,065.08","$8,425.94","$4,468.66",$0.00,$0.00,$0.00
PS 17,NYC SPEC SCHOOLS - DIST 75 ,"$20,767.13","$21,041.36","$23,164.03",$43.82,"$65,016.34","$1,675.57",$928.35,$0.00,"$2,603.92","$1,593.04",$882.62,$546.91,"$3,022.58","$70,642.84","$78,344.92","$70,238.49",$69.54,$0.00,$22.24,$0.00,$281.78,$30.78,$404.35,"$78,344.92","$65,529.75","$9,681.25","$2,475.67",$0.00,$0.00,$0.00
PS 176,NYC SPEC SCHOOLS - DIST 75 ,"$20,967.96","$25,570.27","$25,784.55",$3.60,"$72,326.38","$1,641.95",$909.72,$0.00,"$2,551.68",$906.10,$502.03,$534.83,"$1,942.96","$76,821.01","$84,523.09","$76,297.92",$37.05,$0.00,$9.92,$0.00,$470.97,$5.16,$523.09,"$84,523.09","$72,724.07","$4,778.93","$1,408.13",$0.00,$0.00,$0.00
PS 177,NYC SPEC SCHOOLS - DIST 75 ,"$21,564.98","$28,492.90","$27,734.61",$74.33,"$77,866.82","$1,264.42",$700.55,$0.00,"$1,964.98","$1,403.60",$777.67,$320.56,"$2,501.83","$82,333.63","$90,035.70","$81,725.69",$2.60,$0.00,$26.99,$0.00,$575.89,$2.45,$607.94,"$90,035.70","$78,121.80","$2,727.23","$2,181.27",$0.00,$0.00,$0.00
PS 186 WALTER J DAMROSCH SCHOOL,NYC SPEC SCHOOLS - DIST 75 ,"$16,527.78","$25,622.32","$23,353.29",$0.00,"$65,503.39","$1,454.54",$805.89,$0.00,"$2,260.42","$2,142.06","$1,186.81",$510.03,"$3,838.90","$71,602.71","$79,304.79","$71,121.17",$120.56,$0.00,$28.25,$33.97,$296.05,$2.70,$481.54,"$79,304.79","$66,258.60","$5,396.78","$3,328.87",$0.00,$0.00,$0.00
PS 188,NYC SPEC SCHOOLS - DIST 75 ,"$20,015.07","$20,211.35","$22,287.48",$23.34,"$62,537.24","$1,448.36",$802.46,$0.00,"$2,250.82","$1,887.41","$1,045.72",$607.90,"$3,541.04","$68,329.11","$76,031.18","$67,956.16",$77.32,$0.00,$32.03,$0.00,$188.89,$74.70,$372.94,"$76,031.18","$63,094.11","$5,099.92","$2,933.14",$0.00,$0.00,"$77,244.93"
PS 224,NYC SPEC SCHOOLS - DIST 75 ,"$19,562.43","$27,548.64","$26,101.93",$51.01,"$73,264.01","$1,973.51","$1,093.42",$0.00,"$3,066.93","$1,660.31",$919.90,$564.53,"$3,144.74","$79,475.69","$87,177.76","$78,825.82",$32.45,$0.00,$34.17,$0.00,$583.24,$0.00,$649.87,"$87,177.76","$73,789.45","$5,319.64","$2,580.21",$0.00,$0.00,"$82,722.39"
PS 226,NYC SPEC SCHOOLS - DIST 75 ,"$19,880.42","$24,817.82","$24,765.10",$49.15,"$69,512.50","$1,975.68","$1,094.62",$0.00,"$3,070.30",$704.18,$390.15,$581.77,"$1,676.11","$74,258.91","$81,960.99","$73,328.64",$5.74,$0.00,$30.68,$0.00,$885.66,$8.19,$930.27,"$81,960.99","$70,045.89","$6,652.59","$1,094.33",$0.00,$0.00,"$71,256.72"
PS 23 AT QUEENS CHILDREN CENTER,NYC SPEC SCHOOLS - DIST 75 ,"$23,588.34","$16,033.20","$21,952.34",$0.00,"$61,573.88","$2,238.59","$1,240.29",$0.00,"$3,478.89",$883.00,$489.23,$507.75,"$1,879.97","$66,932.75","$74,634.82","$66,125.36",$52.87,$0.00,$5.79,$0.00,$713.91,$34.80,$807.38,"$74,634.82","$69,198.74","$6,897.76","$1,372.23",$0.00,$0.00,$0.00
PS 231,NYC SPEC SCHOOLS - DIST 75 ,"$22,874.13","$31,174.29","$29,945.57",$1.34,"$83,995.34","$2,080.85","$1,152.89",$0.00,"$3,233.74","$1,433.60",$794.29,$414.90,"$2,642.80","$89,871.88","$97,573.96","$89,137.20",$20.93,$0.00,$44.45,$0.00,$669.30,$0.00,$734.68,"$97,573.96","$84,634.27","$7,033.34","$2,227.90",$0.00,$0.00,$0.00
PS 233,NYC SPEC SCHOOLS - DIST 75 ,"$18,145.77","$24,861.48","$23,828.20",$24.11,"$66,859.56","$1,731.36",$959.26,$0.00,"$2,690.63",$565.05,$313.07,$481.11,"$1,359.23","$70,909.42","$78,611.49","$70,268.93",$16.01,$0.00,$36.42,$0.00,$551.12,$36.93,$640.49,"$78,611.49","$67,252.48","$4,687.92",$878.12,$0.00,$0.00,$0.00
PS 255,NYC SPEC SCHOOLS - DIST 75 ,"$25,160.92","$32,005.17","$31,672.92",$0.00,"$88,839.02","$1,599.37",$886.13,$0.00,"$2,485.50",$685.59,$379.86,$530.46,"$1,595.91","$92,920.43","$100,622.51","$92,251.25",$16.03,$0.00,$47.62,$0.00,$605.52,$0.00,$669.18,"$100,622.51","$89,330.34","$5,237.52","$1,065.45",$0.00,$0.00,$0.00
PS 256,NYC SPEC SCHOOLS - DIST 75 ,"$25,894.35","$25,171.56","$28,293.11",$0.00,"$79,359.01","$1,586.05",$878.75,$0.00,"$2,464.81","$1,421.96",$787.84,$726.08,"$2,935.88","$84,759.70","$92,461.78","$84,027.00",$48.14,$0.00,$58.24,$0.00,$611.98,$14.34,$732.70,"$92,461.78","$83,156.91","$7,054.78","$2,209.80",$0.00,$0.00,"$194,329.83"
PS 35,NYC SPEC SCHOOLS - DIST 75 ,"$19,246.91","$10,536.69","$16,501.63",$0.00,"$46,285.23","$1,652.53",$915.58,$0.00,"$2,568.11","$2,623.28","$1,453.43",$710.29,"$4,787.00","$53,640.35","$61,342.42","$53,127.99",$84.16,$0.00,$27.16,$0.00,$379.78,$21.26,$512.36,"$61,342.42","$50,084.28","$6,433.54","$4,076.71",$0.00,$0.00,$0.00
PS 36,NYC SPEC SCHOOLS - DIST 75 ,"$19,576.53","$25,594.38","$25,026.98",$0.00,"$70,197.89","$2,058.13","$1,140.31",$0.00,"$3,198.45","$2,828.13","$1,566.93",$597.91,"$4,992.97","$78,389.32","$86,091.39","$77,939.59",$27.33,$0.00,$5.62,$0.00,$412.51,$4.25,$449.72,"$86,091.39","$70,779.23","$8,733.79","$4,395.07",$0.00,$0.00,"$234,949.67"
PS 368,NYC SPEC SCHOOLS - DIST 75 ,"$22,315.34","$25,891.89","$26,709.26",$8.33,"$74,924.83","$2,045.17","$1,133.13",$0.00,"$3,178.30","$2,950.68","$1,634.83",$653.62,"$5,239.13","$83,342.26","$91,044.33","$82,632.94",$104.29,$0.00,$0.00,$0.00,$600.85,$4.17,$709.31,"$91,044.33","$76,172.70","$6,182.52","$4,585.50",$0.00,$0.00,"$172,891.75"
PS 369 COY L COX SCHOOL,NYC SPEC SCHOOLS - DIST 75 ,"$19,537.31","$21,513.44","$22,744.20",$0.00,"$63,794.96","$1,647.83",$912.98,$0.00,"$2,560.82","$2,546.79","$1,411.05",$729.64,"$4,687.48","$71,043.25","$78,745.33","$70,647.06",$117.78,$0.00,$12.75,$0.00,$262.82,$2.84,$396.19,"$78,745.33","$64,564.57","$6,207.93","$3,957.84",$0.00,$0.00,$0.00
PS 370,NYC SPEC SCHOOLS - DIST 75 ,"$22,014.38","$27,049.34","$27,183.79",$0.00,"$76,247.52","$2,478.45","$1,373.19",$0.00,"$3,851.65","$2,132.38","$1,181.45",$535.11,"$3,848.94","$83,948.11","$91,650.19","$82,980.71",$35.36,$0.00,$36.33,$0.00,$888.64,$7.06,$967.40,"$91,650.19","$76,718.21","$8,324.92","$3,313.83",$0.00,$0.00,$0.00
PS 371 LILLIAN L RASHKIS,NYC SPEC SCHOOLS - DIST 75 ,"$17,619.76","$17,452.63","$19,431.89",$0.00,"$54,504.28","$1,948.04","$1,079.31",$0.00,"$3,027.35","$4,039.80","$2,238.25",$505.97,"$6,784.02","$64,315.65","$72,017.73","$63,415.50",$28.05,$0.00,$5.52,$0.00,$860.53,$6.03,$900.14,"$72,017.73","$55,197.36","$19,239.93","$6,278.05",$0.00,$0.00,$0.00
PS 396,NYC SPEC SCHOOLS - DIST 75 ,"$19,032.53","$35,728.73","$30,340.52",$50.71,"$85,152.50","$1,709.73",$947.28,$0.00,"$2,657.00",$568.34,$314.89,$510.05,"$1,393.28","$89,202.79","$96,904.87","$88,720.92",$20.82,$0.00,$25.08,$0.00,$432.80,$3.17,$481.88,"$96,904.87","$85,835.65","$10,414.55",$883.23,$0.00,$0.00,$0.00
