DBN,School Name,School Type,Student Achievement - Section Rating,Student Achievement - Section Score,Metric Rating - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,N count - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,"Metric Rating - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","N count - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Percent of Enrollment - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Population Percent of Range - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Value - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Approaching Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Meeting Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Exceeding Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Score - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS",Metric Rating - 4-Year Graduation Rate - English Language Learners,N count - 4-Year Graduation Rate - English Language Learners,Percent of Enrollment - 4-Year Graduation Rate - English Language Learners,Population Percent of Range - 4-Year Graduation Rate - English Language Learners,Metric Value - 4-Year Graduation Rate - English Language Learners,Approaching Target For 2019 - 4-Year Graduation Rate - English Language Learners,Meeting Target For 2019 - 4-Year Graduation Rate - English Language Learners,Exceeding Target For 2019 - 4-Year Graduation Rate - English Language Learners,Metric Score - 4-Year Graduation Rate - English Language Learners,Metric Rating - 4-Year Graduation Rate - Lowest Third Citywide,N count - 4-Year Graduation Rate - Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Lowest Third Citywide,"Metric Rating - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","N count - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Percent of Enrollment - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Population Percent of Range - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Value - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Approaching Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Meeting Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Exceeding Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Score - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Rating - College and Career Preparatory Course Index, Lowest Third Citywide","N count - College and Career Preparatory Course Index, Lowest Third Citywide","Percent of Enrollment - College and Career Preparatory Course Index, Lowest Third Citywide","Population Percent of Range - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Value - College and Career Preparatory Course Index, Lowest Third Citywide","Approaching Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Meeting Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Exceeding Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Score - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Rating - 4-Year College Readiness Index, Lowest Third Citywide","N count - 4-Year College Readiness Index, Lowest Third Citywide","Percent of Enrollment - 4-Year College Readiness Index, Lowest Third Citywide","Population Percent of Range - 4-Year College Readiness Index, Lowest Third Citywide","Metric Value - 4-Year College Readiness Index, Lowest Third Citywide","Approaching Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Meeting Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Exceeding Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Metric Score - 4-Year College Readiness Index, Lowest Third Citywide",Metric Rating - College Persistence,N count - College Persistence,Metric Value - College Persistence,Approaching Target For 2019 - College Persistence,Meeting Target For 2019 - College Persistence,Exceeding Target For 2019 - College Persistence,Metric Score - College Persistence
01M292,Orchard Collegiate Academy,High School,Meeting Target,3.89,Exceeding Target,9,32.1%,72.5%,100.0%,43.9%,61.3%,74.6%,4.99,,7,25.0%,63.5%,N<10,37.3%,52.1%,63.5%,.,,8,28.6%,47.9%,N<10,53.8%,71.4%,81.2%,.,Exceeding Target,19,67.9%,90.5%,84.2%,56.8%,72.2%,81.1%,4.17,Meeting Target,13,44.8%,59.9%,53.8%,35.8%,46.8%,57.3%,3.67,Approaching Target,19,67.9%,90.5%,5.3%,5.0%,10.7%,18.1%,2.05,Exceeding Target,19,67.9%,90.5%,42.1%,11.4%,23.0%,30.3%,4.74,Meeting Target,38,39.5%,26.0%,34.0%,40.8%,3.81
01M448,University Neighborhood High School,High School,Exceeding Target,4.11,,6,6.1%,13.8%,66.7%,36.6%,54.0%,67.3%,.,Exceeding Target,16,16.2%,41.1%,93.8%,55.0%,69.8%,81.2%,4.77,,14,14.1%,23.6%,100.0%,52.8%,70.4%,80.2%,.,Exceeding Target,20,20.2%,26.9%,80.0%,46.1%,61.5%,70.4%,4.52,Approaching Target,19,21.6%,28.9%,36.8%,27.4%,38.4%,48.9%,2.85,Exceeding Target,20,20.2%,26.9%,30.0%,5.0%,10.3%,17.6%,4.97,Approaching Target,20,20.2%,26.9%,15.0%,8.5%,17.2%,22.7%,2.75,Exceeding Target,78,66.9%,42.5%,50.5%,57.3%,4.81
01M450,East Side Community School,High School,Meeting Target,3.99,,5,5.3%,12.0%,20.0%,54.3%,70.4%,82.8%,.,Approaching Target,19,20.2%,51.3%,78.9%,69.3%,80.0%,88.2%,2.90,,4,4.3%,7.2%,N<10,67.3%,80.6%,88.0%,.,,11,11.7%,15.6%,63.6%,59.6%,74.2%,82.6%,.,,8,8.7%,11.6%,75.0%,47.5%,58.5%,69.0%,.,,11,11.7%,15.6%,81.8%,6.3%,22.2%,37.8%,.,,11,11.7%,15.6%,45.5%,12.3%,24.9%,32.9%,.,Meeting Target,88,68.0%,57.4%,65.4%,72.2%,3.38
01M509,Marta Valle High School,High School,Meeting Target,3.27,,2,5.6%,12.6%,N<5,41.1%,58.5%,71.8%,.,,7,19.4%,49.2%,N<10,50.3%,65.1%,76.5%,.,,1,2.8%,4.7%,N<10,52.0%,69.6%,79.4%,.,,5,13.9%,18.5%,60.0%,48.3%,63.7%,72.6%,.,Meeting Target,22,55.0%,73.5%,36.4%,19.0%,29.3%,39.1%,3.72,,5,13.9%,18.5%,0.0%,5.0%,10.0%,16.4%,.,,5,13.9%,18.5%,0.0%,8.0%,16.2%,21.4%,.,Approaching Target,58,39.7%,35.3%,43.3%,50.1%,2.55
01M539,"New Explorations into Science, Technology and Math",High School,Exceeding Target,4.66,,.,0.0%,0.0%,N<5,.,.,.,.,Exceeding Target,16,11.4%,28.9%,100.0%,71.6%,81.5%,89.1%,4.99,,2,1.4%,2.3%,N<10,.,.,.,.,,1,0.7%,0.9%,N<5,64.9%,77.6%,84.9%,.,,4,3.1%,4.1%,N<5,35.1%,46.1%,56.6%,.,,1,0.7%,0.9%,N<5,8.5%,26.6%,44.4%,.,,1,0.7%,0.9%,N<5,20.3%,33.8%,42.4%,.,Exceeding Target,183,89.4%,69.7%,77.7%,84.5%,4.41
01M696,Bard High School Early College,High School,Exceeding Target,4.49,,.,0.0%,0.0%,N<5,.,.,.,.,,2,1.3%,3.3%,N<10,74.9%,83.6%,90.3%,.,,1,0.7%,1.2%,N<10,.,.,.,.,,1,0.7%,0.9%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,1,0.7%,0.9%,N<5,.,.,.,.,,1,0.7%,0.9%,N<5,.,.,.,.,Approaching Target,113,81.1%,77.5%,84.2%,90.0%,2.54
02M047,47 The American Sign Language and English Secondar,High School,Exceeding Target,4.47,,4,10.0%,22.6%,N<5,37.9%,55.3%,68.6%,.,Exceeding Target,10,25.0%,63.5%,80.0%,44.4%,59.2%,70.6%,4.57,,4,10.0%,16.8%,N<10,50.5%,68.1%,77.9%,.,Exceeding Target,10,25.0%,33.3%,70.0%,44.8%,60.2%,69.1%,4.05,Meeting Target,13,37.1%,49.6%,53.8%,40.5%,51.5%,62.0%,3.22,Exceeding Target,10,25.0%,33.3%,20.0%,5.0%,10.0%,15.3%,4.42,Exceeding Target,10,25.0%,33.3%,20.0%,7.2%,14.6%,19.3%,4.07,Exceeding Target,35,68.6%,40.0%,48.0%,54.8%,4.99
02M135,The Urban Assembly School for Emergency Management,High School,Meeting Target,3.52,Exceeding Target,8,13.1%,29.6%,87.5%,42.0%,59.4%,72.7%,4.80,,9,14.8%,37.6%,N<10,51.0%,65.8%,77.2%,.,,7,11.5%,19.3%,N<10,51.7%,69.3%,79.1%,.,Exceeding Target,22,36.1%,48.1%,86.4%,49.1%,64.5%,73.4%,4.71,Exceeding Target,37,50.0%,66.8%,51.4%,23.5%,34.5%,45.0%,4.37,Exceeding Target,22,36.1%,48.1%,20.5%,5.0%,10.1%,17.1%,4.27,Exceeding Target,22,36.1%,48.1%,27.3%,7.5%,15.1%,19.9%,4.70,Exceeding Target,92,60.9%,38.7%,46.7%,53.5%,4.62
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,Meeting Target,3.59,Exceeding Target,23,28.8%,65.0%,78.3%,46.4%,63.8%,77.1%,4.06,Meeting Target,22,27.5%,69.8%,77.3%,55.6%,70.4%,81.8%,3.61,,6,7.5%,12.6%,N<10,50.8%,68.4%,78.2%,.,Meeting Target,31,38.8%,51.7%,74.2%,54.2%,69.6%,78.5%,3.52,Approaching Target,40,39.2%,52.4%,32.5%,27.6%,38.6%,49.1%,2.45,Exceeding Target,31,38.8%,51.7%,37.1%,5.0%,11.5%,19.5%,4.99,Approaching Target,31,38.8%,51.7%,19.4%,9.9%,20.0%,26.4%,2.94,Not Meeting Target,75,28.3%,33.3%,41.3%,48.1%,1.52
02M260,The Clinton School,High School,Exceeding Target,4.19,,.,0.0%,0.0%,N<5,.,.,.,.,Approaching Target,15,17.2%,43.7%,73.3%,71.2%,81.2%,88.9%,2.21,,2,2.3%,3.9%,N<10,.,.,.,.,,3,3.4%,4.5%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,3,3.4%,4.5%,N<5,.,.,.,.,,3,3.4%,4.5%,N<5,.,.,.,.,,.,N<15,.,.,.,.
