DBN,School Name,Rigorous Instruction Rating,Rigorous Instruction - Element Score,How Interesting And Challenging Is The Curriculum,How Effective Is The Teaching And Learning,How Well Does The School Assess What Students Are Learning,Rigorous Instruction - Overall Positive Responses,Rigorous Instruction - City Positive Responses,Rigorous Instruction - Borough Positive Responses,Collaborative Teachers Rating,Collaborative Teachers - Element Score,Quality Review - How well do teachers work with each other,Collaborative Teachers - Overall Positive Responses,Collaborative Teachers - City Positive Responses,Collaborative Teachers - Borough Positive Responses,Supportive Environment Rating,Supportive Environment - Element Score,Quality Review - How clearly are high expectations communicated to students and staff,Supportive Environment - Overall Positive Responses,Supportive Environment - City Positive Responses,Supportive Environment - Borough Positive Responses,Metric Rating - Least Restrictive Environment,% of Enrollment - Least Restrictive Environment,Population % of Range - Least Restrictive Environment,Metric Value - Least Restrictive Environment,Metric Score - Least Restrictive Environment,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Effective School Leadership Rating,Effective School Leadership - Element Score,Effective School Leadership - Overall Positive Responses,Effective School Leadership - City Positive Responses,Effective School Leadership - Borough Positive Responses,Strong Family-Community Ties Rating,Strong Family-Community Ties - Element Score,Strong Family-Community Ties Overall - Positive Responses,Strong Family-Community Ties - City Positive Responses,Strong Family-Community Ties - Borough Positive Responses,Trust Rating,Trust - Element Score,Trust - Overall Positive Responses,Trust - City Positive Responses,Trust - Borough Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review
01M292,Orchard Collegiate Academy,Meeting Target,3.30,Proficient,Proficient,Proficient,73%,79%,79%,Meeting Target,3.75,Proficient,78%,80%,78%,Exceeding Target,4.18,Proficient,76%,72%,72%,Meeting Target,0.27,0.84,0.59,3.38,71.1%,4.74,Meeting Target,3.48,83%,84%,82%,Meeting Target,3.06,85%,87%,87%,Meeting Target,3.88,90%,87%,87%,82%,100%,49%,MILES DOYLE,April 2017
01M448,University Neighborhood High School,Exceeding Target,4.44,Well Developed,Proficient,Well Developed,86%,79%,79%,Exceeding Target,4.58,Well Developed,91%,80%,78%,Exceeding Target,4.43,Well Developed,83%,72%,72%,Exceeding Target,0.16,0.46,0.76,4.07,72.6%,4.05,Exceeding Target,4.26,91%,84%,82%,Meeting Target,3.50,86%,87%,87%,Exceeding Target,4.15,93%,87%,87%,94%,100%,37%,,May-19
01M450,East Side Community School,Exceeding Target,4.57,Well Developed,Proficient,Well Developed,90%,79%,79%,Exceeding Target,4.84,Well Developed,95%,80%,78%,Exceeding Target,4.55,Well Developed,84%,70%,72%,Approaching Target,0.24,0.73,0.25,2.58,85.4%,4.41,Exceeding Target,4.50,95%,83%,82%,Exceeding Target,4.65,97%,90%,87%,Exceeding Target,4.51,95%,87%,87%,91%,94%,74%,Mark Federman,26-May-15
01M509,Marta Valle High School,Not Meeting Target,1.92,Developing,Developing,Developing,66%,79%,79%,Approaching Target,2.03,Developing,54%,80%,78%,Approaching Target,2.36,Proficient,63%,72%,72%,Not Meeting Target,0.27,0.82,0.53,1.39,37.2%,1.74,Approaching Target,2.63,59%,84%,82%,Approaching Target,2.44,80%,87%,87%,Not Meeting Target,1.83,71%,87%,87%,74%,54%,19%,Steven Aragona,December 2016
01M539,"New Explorations into Science, Technology and Math",Meeting Target,3.96,Well Developed,Proficient,Proficient,83%,79%,79%,Meeting Target,3.28,Proficient,75%,78%,78%,Exceeding Target,4.16,Well Developed,71%,68%,72%,Exceeding Target,0.16,0.46,0.50,4.07,90.4%,4.09,Meeting Target,3.80,77%,82%,82%,Meeting Target,3.74,92%,92%,87%,Approaching Target,2.97,82%,86%,87%,96%,88%,67%,MARK BERKOWITZ,April 2017
01M696,Bard High School Early College,Exceeding Target,4.42,Well Developed,Well Developed,Proficient,88%,79%,79%,Approaching Target,2.93,Proficient,77%,80%,78%,Exceeding Target,4.08,Well Developed,81%,72%,72%,Not Meeting Target,0.08,0.21,0.18,1.89,88.6%,3.55,Meeting Target,3.85,85%,84%,82%,Meeting Target,3.67,87%,87%,87%,Meeting Target,3.60,87%,87%,87%,94%,71%,49%,,November-18
02M047,47 The American Sign Language and English Secondar,Meeting Target,3.53,Well Developed,Proficient,Proficient,68%,79%,79%,Meeting Target,3.71,Well Developed,72%,80%,78%,Meeting Target,3.78,Well Developed,68%,72%,72%,Exceeding Target,0.26,0.80,0.55,4.03,64.8%,3.71,Approaching Target,2.42,74%,84%,82%,Approaching Target,2.79,82%,87%,87%,Approaching Target,2.76,82%,87%,87%,96%,76%,24%,Watfa Shama,"February 12, 2015"
02M135,The Urban Assembly School for Emergency Management,Meeting Target,3.85,Well Developed,Proficient,Proficient,79%,79%,79%,Meeting Target,3.42,Proficient,80%,80%,78%,Meeting Target,3.06,Proficient,67%,72%,72%,Meeting Target,0.19,0.55,0.55,3.13,53.5%,2.91,Meeting Target,3.42,80%,84%,82%,Meeting Target,3.40,86%,87%,87%,Meeting Target,3.55,86%,87%,87%,94%,100%,41%,Rodolfo Elizondo,October 2016
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,Meeting Target,3.25,Proficient,Proficient,Proficient,71%,79%,79%,Meeting Target,3.52,Proficient,74%,80%,78%,Meeting Target,3.09,Well Developed,65%,72%,72%,Meeting Target,0.23,0.71,0.64,3.25,47.3%,1.70,Exceeding Target,4.17,79%,84%,82%,Meeting Target,3.21,84%,87%,87%,Approaching Target,2.99,83%,87%,87%,88%,100%,33%,,November-18
02M260,The Clinton School,Exceeding Target,4.26,Well Developed,Well Developed,Proficient,81%,79%,79%,Meeting Target,3.19,Proficient,76%,80%,78%,Meeting Target,3.98,Well Developed,71%,70%,72%,Approaching Target,0.18,0.53,0.31,2.92,85.1%,3.34,Meeting Target,3.46,77%,83%,82%,Approaching Target,2.19,83%,90%,87%,Meeting Target,3.15,86%,87%,87%,60%,94%,46%,,December-18
