DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school s approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M292,Orchard Collegiate Academy,High School,197,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,73.0%,78.0%,76.0%,83.0%,85.0%,90.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,April 2017,2.70,2.33,11.7%,28.9%,0.5%,0.87,4.1%,18.3%,78.2%,9.6%,26.9%,56.9%,3.0%,4.00,75.0%,91.7%,28.9%,97.0%
01M448,University Neighborhood High School,High School,483,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,86.0%,91.0%,83.0%,91.0%,86.0%,93.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,May-19,2.97,2.99,14.7%,17.0%,0.0%,0.83,6.8%,18.0%,72.3%,36.9%,19.5%,38.3%,4.6%,0.70,60.0%,90.9%,27.4%,96.7%
01M450,East Side Community School,High School,370,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,90.0%,95.0%,84.0%,95.0%,97.0%,95.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,26-May-15,3.07,3.06,1.6%,24.6%,0.0%,0.68,1.4%,8.4%,54.1%,13.0%,19.2%,52.2%,12.4%,17.90,81.1%,93.8%,14.6%,97.5%
01M509,Marta Valle High School,High School,127,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,66.0%,54.0%,63.0%,59.0%,80.0%,71.0%,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,December 2016,2.79,2.36,6.3%,27.6%,4.7%,0.81,7.9%,13.4%,74.0%,7.1%,37.0%,51.2%,2.4%,4.10,38.5%,79.6%,62.8%,96.9%
01M539,"New Explorations into Science, Technology and Math",High School,615,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,83.0%,75.0%,71.0%,77.0%,92.0%,82.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,April 2017,3.70,3.90,0.3%,14.3%,0.2%,0.40,1.1%,2.0%,28.5%,26.8%,12.4%,18.7%,39.0%,4.10,73.8%,95.2%,9.6%,96.5%
01M696,Bard High School Early College,High School,615,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,88.0%,77.0%,81.0%,85.0%,87.0%,87.0%,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Developing,Proficient,November-18,3.88,4.10,0.2%,7.6%,0.0%,0.40,0.0%,2.6%,29.3%,29.3%,11.1%,17.1%,39.8%,8.90,86.8%,94.8%,11.4%,97.0%
02M047,47 The American Sign Language and English Secondar,High School,196,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Exceeding Target,68.0%,72.0%,68.0%,74.0%,82.0%,82.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,"February 12, 2015",2.93,2.69,4.6%,27.0%,1.0%,0.77,5.1%,16.3%,67.3%,3.1%,27.6%,64.3%,4.6%,11.10,36.4%,90.0%,35.2%,97.5%
02M135,The Urban Assembly School for Emergency Management,High School,265,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,79.0%,80.0%,67.0%,80.0%,86.0%,86.0%,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,October 2016,2.85,2.49,3.4%,22.3%,0.4%,0.81,8.3%,15.8%,70.2%,6.0%,28.3%,60.0%,3.4%,1.10,70.8%,86.0%,46.5%,96.7%
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,401,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,71.0%,74.0%,65.0%,79.0%,84.0%,83.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,November-18,2.74,2.59,7.2%,25.7%,0.0%,0.83,5.2%,11.7%,72.1%,4.2%,26.4%,63.1%,4.2%,6.10,65.9%,84.9%,52.7%,97.1%
02M260,The Clinton School,High School,433,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,81.0%,76.0%,71.0%,77.0%,83.0%,86.0%,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,December-18,3.68,3.62,0.5%,18.0%,0.0%,0.25,0.0%,0.9%,15.2%,11.1%,5.5%,14.3%,62.8%,7.90,73.5%,94.6%,14.9%,97.3%
